FID,Provinsi,Kode_Prov,Kab_Kota,Kode_Kab,KECAMATAN,Kode_Kec,KELURAHAN,Kode_Kel,KODE_RT_RW,LUAS_KUMUH,skor_kumuh,SUMBR_DATA,SK_KUMUH,Kawasan,WKT
0,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Balangnipa,1003,1003-RT01_RW01 TOKINJONG,0.989344309662000,39.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Benteng Balangnipa,"MULTIPOLYGON (((120.26422152592932 -5.1206127655412343, 120.26417075452372 -5.1205963230035474, 120.26450960573301 -5.1195034677002704, 120.26418417563828 -5.1194015164797007, 120.26403929914844 -5.1193561293050101, 120.26396547842104 -5.1196292180643583"
1,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Balangnipa,1003,1003-RT01_RW02 TOKINJONG,2.011901594050000,31.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Benteng Balangnipa,"MULTIPOLYGON (((120.26010839889284 -5.1193813273071695, 120.25997971484971 -5.1197709092146066, 120.25984402872368 -5.1201816884336671, 120.26000786820141 -5.1202266375006733, 120.26052515061438 -5.1203751739723584, 120.26086466372215 -5.1204722410538466"
2,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Balangnipa,1003,1003-RT01_RW03 TOKINJONG,4.089001065900000,46.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Benteng Balangnipa,"MULTIPOLYGON (((120.25862198268622 -5.1193012874843085, 120.25844085585166 -5.1198384567353488, 120.25811532161461 -5.1206891668165859, 120.25793466897954 -5.1211155762596423, 120.25860166110611 -5.121440820876523, 120.25870429912713 -5.1213710064496158,"
3,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Balangnipa,1003,1003-RT02_RW01 TOKINJONG,3.408688831500000,42.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Benteng Balangnipa,"MULTIPOLYGON (((120.26288915377117 -5.1206322298186047, 120.26328244924274 -5.1208201804995275, 120.26332582426369 -5.1208409088288205, 120.26340758736281 -5.1207302222681834, 120.26366704134087 -5.1203357683433453, 120.26382183807409 -5.1200434212383765"
4,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Balangnipa,1003,1003-RT02_RW01 ULUSALO,1.973974799040000,38.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Benteng Balangnipa,"MULTIPOLYGON (((120.25641163867577 -5.1100843023371816, 120.2564871686798 -5.1103780346635999, 120.25664634744213 -5.1110744575363247, 120.25674124750211 -5.1115229117936556, 120.25686082591594 -5.1121115764325307, 120.25691393894867 -5.1123891922362477,"
5,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Balangnipa,1003,1003-RT02_RW03 Tokinjong,1.711579037650000,48.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Benteng Balangnipa,"MULTIPOLYGON (((120.25861264697228 -5.1226102087302392, 120.25897149313852 -5.1227350478111342, 120.25901576115655 -5.1227588306408238, 120.25937695392527 -5.121598416187287, 120.25932513398627 -5.1215854364508653, 120.25870429912713 -5.1213710064496158,"
6,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Balangnipa,1003,1003-RT03_RW01 TOKINJONG,3.554574118760000,41.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Benteng Balangnipa,"MULTIPOLYGON (((120.2619829886786 -5.1216325022462579, 120.26228351954879 -5.1217934406883572, 120.26226568811609 -5.1220611423763991, 120.26220180443164 -5.1221099808185064, 120.26215372820299 -5.1221467346058018, 120.26212264590187 -5.1221857154032815,"
7,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Balangnipa,1003,1003-RT03_RW01 ULUSALO,0.582323645010000,40.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Benteng Balangnipa,"MULTIPOLYGON (((120.2560457594943 -5.1087871359996226, 120.25611450542304 -5.1089710899120249, 120.25623214878544 -5.1093421772499177, 120.25631653246525 -5.109684431926186, 120.25641163867579 -5.1100843023371816, 120.25685493722331 -5.1099930230956065,"
8,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Balangnipa,1003,1003-RT03_RW02 TOKINJONG,2.307099127920000,43.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Benteng Balangnipa,"MULTIPOLYGON (((120.26265907306536 -5.1211577026220541, 120.26277077974615 -5.1212037470359668, 120.26286861739594 -5.1212448546875198, 120.26296009225888 -5.1212832889237285, 120.26299918433467 -5.1212997139133849, 120.26300648058535 -5.1213027795175456"
9,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Biringere,1001,1001-RT02_RW01 LOMPU,2.302111318480000,46.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Daerah Kumuh Mangottong,"MULTIPOLYGON (((120.25274774746975 -5.1268250277955483, 120.2524617531672 -5.1275918148735808, 120.25291130073906 -5.1277658516380971, 120.25365897282747 -5.1280783511236194, 120.25376244530395 -5.1280451065047634, 120.25405617362441 -5.1281681115858619,"
