Data Aset Tanah Pemda yang telah disertifikatkan 5 tahun terkahir;;;;;;;;;;;;;;
No;Nomor Sertifikat;Nama Pemilik / Instansi;Luas (m²);Lokasi / Alamat;Desa / Kelurahan;Kecamatan;Tanggal Terbit Sertifikat;Nomor Hak (HGB/Hak Pakai/Hak Milik);Peruntukan / Penggunaan Tanah;Koordinat Longitude;Koordinat Latitude;Nilai Aset (Rp);Status Tanah (Aktif / Sengketa / Tidak Digunakan);Keterangan
1;00031;UPTD SMPN 23 SINJAI;6.890,00;Kel. Sangiaserri, Kec. Sinjai Selatan;Kel. Sangiasseri;SINJAI SELATAN;27-04-2022;HAK PAKAI;Tanah Bangunan Sekolah;120.147308;-5.253.531;;Aktif;SMP NEG. 6 Sinjai Selatan
2;00003;SDN NO. 244 JENNA;2.201,00;Dusun Jenna Desa Polewali Kec.Sinjai Selatan;Desa poliwali;SINJAI SELATAN;22-10-2021;HAK PAKAI;Tanah Bangunan Sekolah;120.097481;-5.256.962;;Aktif;
3;00011;TK Negeri VIII Pasimarannu Sinjai Timur;250,00;Jl. Petta Nonci No. 2 Desa Pasimarannu Kec. Sinjai Timur;Desa Pasimarannu;SINJAI UTARA;26-12-2022;HAK PAKAI;Tanah Bangunan TK Neg. VIII Passimarannu Sinjai Timur;120.275390;-5.177.638;;Aktif;181
4;00020;TK Negeri I Dompili Sinjai Timur;844,00;Jl.H.Abd.Latief No.A 18 ,Desa Saukang Kec. Sinjai Timur;Desa Saukang;SINJAI TIMUR;09-05-2022;HAK PAKAI;Tanah Bangunan TK Idhata I Dompili;120.242942;-5.140.719;;Aktif;
5;00008;TK Negeri Palangka Sinjai Selatan;361,00;Dusun Honto, Desa Palangka Kec. Sinjai Selatan;Desa Palangka;SINJAI UTARA;24-01-2023;HAK PAKAI;Sebidang Tanah Non Pertanian yang dipergunan untuk tanah bangunan TK Neg.Palangka;120.124594;-5.303.542;;Aktif;
6;00009;TK Negeri Bijinangka Sinjai Borong;321,00;Dusun Nangkae, Desa Biji Nangka Kec. Sinjai Borong;Desa Biji Nangka;SINJAI UTARA;23-06-2022;HAK PAKAI;Tanah Bangunan Gedung TK Neg. Biji Nangka;120.071759;-5299120.;;Aktif;
7;00010;TK Negeri Batu Belerang Sinjai Borong;282,00;Dusun Jeppara, Desa Batu Belerang, Kec. Sinjai Brorong;Desa Batu Belerang;SINJAI BORONG;23-06-2022;HAK PAKAI;Tanah Bangunan TK Negeri Batu Belerang;120.034796;-5.306.965;;Aktif;
8;00012;TK Negeri Bonto Sinala Sinjai Borong;272,00;Dusun Bongki-Bongki, Desa Bonto Sinala, Kec. Sinjai Borong;Desa Bonto Sinala;SINJAI BORONG;28-06-2022;HAK PAKAI;Tanah Bangunan TK Negeri Bonto Sinala;120.073623;-5.311.720;;Aktif;
9;00024;TK Negeri Pasir Putih Sinjai Borong;477,00;Kel. Pasir Putih Kec. Sinjai Borong;Kel. Pasir Putih;SINJAI UTARA;23-06-2022;HAK PAKAI;Tanah Bangunan TK Neg.Pasir Putih;120.065208;-5.324.539;;Aktif;
10;00023;TK Negeri Mannyaha Sinjai Borong;184,00;Lingk. Mannyaha, Kel. Pasir Putih, Kec. Sinjai Borong;Kel. Pasir Putih;SINJAI UTARA;23-06-2022;HAK PAKAI;Tanah Bangunan Gedung Sekolah TK Neg. Mannyaha;120.073250;-5.320.894;;Aktif;
