"DATA KEGIATAN PROGRAM PENGEMBANGAN INFRASTRUKTUR SOSIAL EKONOMI WILAYAH (PISEW)
DI KABUPATEN SINJAI PROVINSI SULAWESI SELATAN";;;;;;;;;
NO.;JENIS PEKERJAAN;;"LOKASI
(Desa)";KECAMATAN;PELAKSANA;"ANGGARAN
(Rp.)";SUMBER DANA;TAHUN;
1;"Pekerjaan Perkerasan
Telfort Jalan";;Barania - Gunung Perak;Sinjai Barat;BKAD;600.000.000;APBN;2020;
2;Pekerjaan Cor Beton;;Palangka-Puncak;Sinjai Selatan;BKAD;600.000.000;APBN;2020;
3;Pekerjaan Cor Beton;;Sotengah-Samaturue;Tellulimpoe;BKAD;600.000.000;APBN;2020;
4;Pekerjaan Cor Beton;;"Duampanuae-
Tompobulu";Buluppoddo;BKAD;600.000.000;APBN;2020;
5;Pekerjaan Rabat Beton;;Saotengah - Kalobba;Tellulimpoe;BKAD;600.000.000;APBN;2021;
6;Pekerjaan Rabat Beton;;Tompobulu-Bulutellue;Buluppoddo;BKAD;600.000.000;APBN;2021;
7;Perintisan Jalan Desa;;Turungan Baji -Terasa;Sinjai Barat;BKAD;600.000.000;APBN;2021;
8;Rabat Beton;;Palae-Aska;Sinjai Selatan;BKAD;600.000.000;APBN;2021;
9;Pekerjaan Cor Beton;;Sukamaju- Bua;Tellulimpoe;BKAD;500.000.000;APBN;2022;
10;"Pekerjaan Perkerasan
Telfort Jalan";;Barania - Gunung Perak;Sinjai Barat;KKAD;500.000.000;APBN;2023;
11;Pekerjaan Cor Beton;;"Barangbang – Batu
Belerang";Sinjai Borong;KKAD;500.000.000;APBN;2023;
12;Pekerjaan Cor Beton;;Puncak- Palangka;Sinjai Selatan;KKAD;500.000.000;APBN;2023;
13;Pekerjaan Cor Beton;;Bua-Patongko;Tellulimpoe;KKAD;500.000.000;APBN;2023;
14;Pekerjaan Cor Beton;;Saotanre- Kompang;Sinjai Tengah;KKAD;500.000.000;APBN;2023;
15;Pekerjaan Cor Beton;"Duampanua-
Tompobulu";;Buluppoddo;KKAD;500.000.000;APBN;2023;
16;Pekerjaan Cor Beton;Pattalassang-Lasiai;;Sinjai Timur;KAD;500.000.000;APBN;2023;
17;"Perkerasan Jalan
Telfort";Palangka -Puncak;;Sinjai Selatan;KKAD;500.000.000;APBN;2024;
18;Perkerasan Jalan Sirtu;Songing- Polewali;;Sinjai Selatan;KKAD;500.000.000;APBN;2024;
19;Pekerjaan Cor Beton;Saotengah - Kalobba;;Tellulimpoe;KKAD;500.000.000;APBN;2024;
