WKT,Id,Keterangan,Luas_Kawas,X,Y,Nama_Penge,TAHUN_PEMB
POINT (197367.7372968209 9433915.312668933),0,BUMI LAPPA MAS 3,6,120.270540048,-5.11559105367,PT. MANDIRI PRATAMA PUTRA,2016
POINT (197652.4985414134 9433892.94435127),0,BUMI LAPPA MAS 5,"6,2",120.273105503,-5.11580411335,PT. MANDIRI PRATAMA PUTRA,2017
POINT (197034.9829661377 9434292.462118523),0,BUMI LAPPA MAS 2,"1,81",120.267555682,-5.11217025252,PT. MANDIRI PRATAMA PUTRA,2015
POINT (197968.0758612844 9434260.794767274),0,BUMI LAPPA MAS 1,16,120.275963602,-5.11249221106,PT. MANDIRI PRATAMA PUTRA,2013
POINT (196258.59359122778 9433286.154422347),0,GRAHA AISYAH PERMAI,"1,40",120.260520124,-5.12123356011,CV. RESKY AYU,-
POINT (195637.86405125406 9432650.92656577),0,BUMI TAMARA PERMAI 1,"0,93",120.254901516,-5.12694958538,PT. TAMARA MULTI KARYA,-
POINT (194453.26125362312 9433669.990829453),0,BUMI PERMATA SINJAI,"7,46",120.244265176,-5.11769530682,PT. PERMATA PUTRA GRUP,-
POINT (194960.64512363716 9434136.801453797),0,BARUGA BUKIT SAOPANDA,"1,9",120.24885574,-5.11349683075,DRS. SAMSUL KAMAR,-
POINT (194286.26877866813 9432100.419337863),0,TOPEKKONG REGENCY,"2,2",120.242699393,-5.13187154627,PT.TRI AYU,-
POINT (194547.52634257235 9433360.04941707),0,SAOCITRA CEMMENG,"4,18",120.245102698,-5.12049961455,PERUM PERUMNAS,-
POINT (194783.32133424125 9432684.437577097),0,BTN TUJUH WALI,"0,1",120.247201544,-5.12661364467,-,-
POINT (195571.59552684694 9432574.854240265),0,BUMI TAMARA PERMAI  3,"0,31",120.254301354,-5.127634419,PT. TAMARA MULTI KARYA,-
POINT (195691.1998835791 9434634.706653837),0,BUMI TANGKA MAS,5,120.255458644,-5.1090259263,PT. MANDIRI PRATAMA PUTRA,2017
POINT (192477.93169665354 9435043.25199788),0,AQILA REGENCY LAMATTI,,120.226517109,-5.10520973589,PT. NABIL PUTRA PANRITA LOPI,2018
POINT (191876.44878398365 9435498.995227832),0,BUMI LAMATTI PERMAI,"2,94",120.221114493,-5.10106823975,PT. NASATUNGGAL BHAKTIPRATAMA,-
POINT (194889.31229405495 9432884.910605155),0,BTN GOJENG PERMAI,"3,01",120.248164506,-5.1248062672,PERUM PERUMNAS,-
POINT (195784.22291728383 9433026.982311765),0,AKA PERMATA HIJAU,"0,28",120.25623504,-5.12355715507,H. FARID GAFFAR,-
POINT (199918.526146084 9424415.052373845),0,PERUMAHAN NELAYAN SANJAI,"1,8",120.293164374,-5.20153696591,KPUPR,2016
POINT (192428.3951399033 9433751.263716238),0,BUMI TIRTA NUSANTARA SINJAI,,120.226020445,-5.11688211137,PT. MEGATAMA BUANA NUSA INDAH,2018
POINT (195531.09844172298 9434265.22871417),0,SURYANI RESIDENCE,"5,5",120.254001595,-5.11235840164,H.A. BAHARUDDIN,-
POINT (194859.45282397157 9432303.510015514),0,BUMI TAMARA PERMAI 2,"0,93",120.247872899,-5.13005869362,PT. TAMARA MULTI KARYA,-
POINT (194921.62248149753 9432285.028698763),0,BTN THALITA RESIDENCE,"0,28",120.248432467,-5.13022810688,H. JAMALUDDIN,-
POINT (194720.26338111202 9433682.051947836),0,RUMAH SUSUN ASN KAB. SINJAI,,120.24667186,-5.11759667626,KPUPR,-
POINT (195208.66799977614 9435226.858566096),0,PUNGGAWA RESIDENCE,,120.251132911,-5.10365654487,PT. PERMATA PUTRA GRUP,2024
POINT (196166.00499587 9433134.802803239),0,BUMI TOKINJONG MAS,,120.259679874,-5.12259762589,PT. MANDIRI PRATAMA PUTRA,2022
POINT (195355.60790212813 9434909.692924336),0,BUMI BENTENG MAS,,120.252444903,-5.10652816335,PT. BUMI PUNDI KARSA,2023
POINT (195644.34909365472 9432732.73378879),0,THE SULTAN,,120.25496312,-5.12621061504,PT. ALFATIH KEMILAU MANDIRI,2024
POINT (192923.28534093662 9434779.700823514),0,CAHAYA AMBARALA RESIDENCE,,120.230520267,-5.10760850837,PT. SINAR PRATAMA AMBARALA,-
POINT (195400.08186715515 9435090.47634423),0,BUMI BENTENG MAS 2,,120.252852654,-5.10489629764,PT. BUMI PUNDI KARSA,-
POINT (197414.06119305245 9433677.135169784),0,BUMI LAPPA MAS 3 / II,,120.2709484,-5.11774506747,PT. MANDIRI PRATAMA PUTRA,2024
POINT (197627.68384291395 9429287.552308956),0,BTN GRIYA TONGKE-TONGKE,,120.272704853,-5.15741873277,PT. TAMARA MULTI KARYA,-
POINT (194695.23638227367 9430608.503054254),0,BTN LAMBASSANG,"4,64",120.246327157,-5.14536851535,PERUM PERUMNAS,-
