WKT,Provinsi,Kode_Prov,Kab_Kota,Kode_Kab,KECAMATAN,Kode_Kec,KELURAHAN,Kode_Kel,KODE_RT_RW,LUAS_KUMUH,skor_kumuh,SUMBR_DATA,SK_KUMUH,Kawasan
"POLYGON ((120.2693883538621 -5.109578596302286, 120.2688139101208 -5.111305113278155, 120.2678049686569 -5.111016138504155, 120.26780622631796 -5.110985713911329, 120.26773279423784 -5.11080203246144, 120.26765101760314 -5.110717256389879, 120.26756506869124 -5.110610870715577, 120.2675258492848 -5.1104994981938505, 120.26751945879614 -5.110437352168267, 120.26755255185941 -5.110285895616681, 120.26766353443499 -5.110175354177205, 120.26777618592155 -5.110167042789996, 120.26806924492121 -5.11010680875901, 120.26809745127198 -5.109930168209513, 120.26811580929201 -5.109660879106374, 120.26811580929201 -5.109494651208439, 120.26812999503473 -5.109288528555103, 120.2693883538621 -5.109578596302286))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT02_RW02 KOKOE,2.77619458665,16.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.2688139101208 -5.111305113278155, 120.26872579623019 -5.111632338686927, 120.26837198711695 -5.111502681329231, 120.26831691305685 -5.11167389552679, 120.26833026434417 -5.111856745590146, 120.26833026434417 -5.111856745590146, 120.26831858196778 -5.111993051967051, 120.26814668414387 -5.1125399394558775, 120.2680014888946 -5.112493395857991, 120.26804488057826 -5.112199173750206, 120.26788132730897 -5.112175901939299, 120.26790719542808 -5.1117254260044795, 120.26779287503064 -5.111714205658891, 120.26780664354565 -5.111577483654197, 120.26797854136956 -5.111590366275939, 120.26802109859781 -5.111320662302042, 120.26780497463479 -5.111276612027415, 120.2678049686569 -5.111016138504155, 120.2688139101208 -5.111305113278155))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT03_RW02 KOKOE,0.835412626033,17.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.27012683561277 -5.111713692439475, 120.27069617586453 -5.109860238104652, 120.27114291482307 -5.1099505690358695, 120.27061220237607 -5.11184584285961, 120.27012683561277 -5.111713692439475))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT02_RW01 KOKOE,1.14780566972,21.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.27061220237607 -5.11184584285961, 120.27114291482307 -5.1099505690358695, 120.2716120458486 -5.110011028005673, 120.27159496614655 -5.110095595751865, 120.27154658108459 -5.110167871424808, 120.27148465495647 -5.110530902112839, 120.27165450947932 -5.110567910084041, 120.2714804882467 -5.110902388629707, 120.27135452801402 -5.110909079799355, 120.27127559293483 -5.111452737099367, 120.27122520884177 -5.111584887573348, 120.27123864459989 -5.111655144776258, 120.27123024725108 -5.111713692439467, 120.27117986315801 -5.111805695899416, 120.2710505439858 -5.1120231585703895, 120.27096657049732 -5.111969629304386, 120.27061220237607 -5.11184584285961))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT03_RW01 KOKOE,1.29176219998,27.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.26946751128628 -5.109577019055535, 120.26963897586279 -5.109075133628541, 120.27008084096292 -5.109197944918502, 120.27085242895356 -5.109430755405134, 120.27069617586453 -5.109860238104635, 120.26946751128628 -5.109577019055535))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT01_RW03 KOKOE,0.767495529312,17.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.27087689424198 -5.109418899695212, 120.270902612806 -5.109427791291488, 120.27102262953456 -5.109439694935952, 120.2711785772755 -5.10941106275747, 120.27127462742685 -5.109393427820897, 120.2714054808539 -5.109376767827974, 120.27143402771186 -5.109373133296015, 120.27145342994953 -5.109370663039013, 120.27150885610894 -5.109363606279359, 120.27168418204354 -5.109341284059629, 120.27167740607713 -5.109380563918511, 120.2716120458486 -5.110011028005673, 120.27114291482307 -5.1099505690358695, 120.27069617586453 -5.109860238104635, 120.27085242895356 -5.109430755405134, 120.27087689424198 -5.109418899695212))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT01_RW01 KOKOE,0.592976324451,17.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.26852312954797 -5.107901914927337, 120.26855493756793 -5.1077076232225265, 120.26856493103567 -5.107651112938769, 120.26950295903093 -5.1079367965441485, 120.269539131086 -5.107954736632552, 120.26983350711977 -5.107281291748803, 120.26985270674227 -5.107218720872553, 120.26999272934808 -5.107262352904318, 120.2703657130362 -5.107362923256669, 120.27028895884398 -5.107582080466781, 120.27001610383763 -5.108161905675498, 120.26984423297979 -5.108544194711358, 120.2696388329218 -5.109075503373668, 120.26959502339002 -5.109062917530899, 120.26954290437838 -5.109062492001508, 120.26929993445262 -5.10900407591502, 120.2690843249064 -5.108960121626974, 120.26891516135214 -5.108928319558458, 120.26887707615847 -5.108912616560539, 120.26887863302248 -5.10882655119053, 120.26890300410702 -5.108702328767871, 120.26892598544893 -5.108624722756049, 120.26885080402883 -5.108572120014824, 120.2685951816332 -5.108473883220474, 120.26844964724694 -5.108419486843865, 120.26844962131952 -5.108367825025578, 120.268475468249 -5.10817666407029, 120.26852312954797 -5.107901914927337))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT03_RW01 LAPPAE,2.21669711086,17.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.26870682383775 -5.1069671856285135, 120.26870832820495 -5.106960729502899, 120.26872169396736 -5.106903369132068, 120.26913439963332 -5.107017697348691, 120.26968695049635 -5.107170675676784, 120.26985270674227 -5.107218720872553, 120.26983350711977 -5.107281291748803, 120.26958418038267 -5.107851677396559, 120.269539131086 -5.107954736632552, 120.26950295903093 -5.107936796544114, 120.26856493103567 -5.107651112938786, 120.26859884445925 -5.1074837790275085, 120.2686816217734 -5.107075342485901, 120.26870682383775 -5.1069671856285135))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT02_RW01 LAPPAE,1.05076546356,17.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.2676963411608 -5.106910239529969, 120.26772314862531 -5.106701485320477, 120.26773572474183 -5.106619436364716, 120.26841563883872 -5.106820775680509, 120.26872169396736 -5.106903369132068, 120.2686816217734 -5.107075342485901, 120.2685610707098 -5.107670160351591, 120.26852312954797 -5.107901914927337, 120.268475468249 -5.10817666407029, 120.26844962131952 -5.108367825025578, 120.26839992769949 -5.108349706370696, 120.26831154180137 -5.10831583275441, 120.26821745281636 -5.108292718514155, 120.26816611653302 -5.1083092360359, 120.26805609294514 -5.10840478938685, 120.26804025487228 -5.108468889298693, 120.2680135600249 -5.108578756381652, 120.2679782931362 -5.108571334531154, 120.26783546777867 -5.108541277183654, 120.26785181350733 -5.108484822652554, 120.26735568497125 -5.108326564205556, 120.26755452135285 -5.107515964211154, 120.2676963411608 -5.106910239529969))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT01_RW01 LAPPAE,2.11625997938,17.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.26780097991646 -5.10375597047133, 120.26793701696778 -5.103545196242126, 120.26801622825224 -5.103445054349316, 120.26806756770826 -5.1034840052403165, 120.26806729443206 -5.10354855804328, 120.2683307989575 -5.103825109844991, 120.2682095432214 -5.104079940587138, 120.26812004109205 -5.104268917923597, 120.26802030565143 -5.10450949482457, 120.26796793351865 -5.1047144100047035, 120.2678952527233 -5.104985227181924, 120.26782068549386 -5.10536362620106, 120.2677902496378 -5.105793856254481, 120.26771814479389 -5.106604059810909, 120.26765012563669 -5.106596971253124, 120.26723929414065 -5.106503037381816, 120.2666305155849 -5.106339776259892, 120.26622413659238 -5.106355258995922, 120.26608520489086 -5.106430835585867, 120.2659446542126 -5.106473133923281, 120.26569531284045 -5.106568184674826, 120.26521995845255 -5.106655099130165, 120.26470035727817 -5.106717437506135, 120.26465141603285 -5.106450406525182, 120.2647626255037 -5.106421981046597, 120.26475778069471 -5.106196597175681, 120.26475442175516 -5.10604939034504, 120.2647544217568 -5.1059673634561, 120.26473837349786 -5.105849709843378, 120.26499480691474 -5.105769034911872, 120.26501784728184 -5.105921766536671, 120.26527906882023 -5.105873532725771, 120.26534077530269 -5.106205068423815, 120.26538926132793 -5.106220016441085, 120.26573523210037 -5.106209979613187, 120.2660912796914 -5.106046044734814, 120.26691416381104 -5.106026583360824, 120.26700568095632 -5.105459256447098, 120.26733967021899 -5.1054935579909895, 120.26733959908628 -5.10547951870223, 120.26734490422615 -5.105413383940759, 120.26736532080946 -5.105197638767888, 120.26739454823233 -5.104530481528105, 120.26752554687432 -5.104513753437397, 120.26761959718141 -5.104527135910013, 120.26763303293956 -5.10442676735873, 120.26765654551632 -5.1043498181254865, 120.26768341703264 -5.104239412687732, 120.26778082627922 -5.10416915467199, 120.26792861961897 -5.103980127115215, 120.26794373484691 -5.103874740046135, 120.26780097991646 -5.10375597047133))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT02_RW03 LAPPAE,3.42593212746,17.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
